Time,Lot,pH,Temp,Current,Voltage,DTime,QC
36:12.8,2,2.76,21.24,3.55,4.26,2021-09-06,1
36:17.8,2,1.57,22.93,3.38,3.07,2021-09-06,1
36:22.8,2,2.3,22.5,3.04,4.94,2021-09-06,1
36:27.8,2,1.8,25.77,4.29,4.72,2021-09-06,1
36:32.8,2,2.64,23.43,3.59,4.52,2021-09-06,1
36:37.8,2,1.83,27.47,3.85,3.49,2021-09-06,1
36:42.8,2,1.84,26.63,3.38,3.38,2021-09-06,1
36:47.8,2,2.14,23.84,3.13,3.62,2021-09-06,1
36:52.8,2,1.83,24.77,3.96,4.1,2021-09-06,1
36:57.8,2,2.34,23.95,4.1,4.14,2021-09-06,1
37:02.8,2,1.64,23.8,3.71,4.8,2021-09-06,1
37:07.8,2,2.15,23.7,4.17,3.67,2021-09-06,1
37:12.8,2,1.97,21.28,3.56,3.38,2021-09-06,1
37:17.8,2,2.75,25.01,3.03,3.2,2021-09-06,1
37:22.8,2,2.26,24.61,3.33,3.95,2021-09-06,1
37:27.8,2,1.66,22.04,4,3.12,2021-09-06,1
37:32.8,2,2.03,27.42,3.86,3.66,2021-09-06,1
37:37.8,2,2.57,27.45,3.68,4.21,2021-09-06,1
37:42.8,2,2.95,22.41,3.61,4.15,2021-09-06,1
37:47.9,2,1.55,22.55,3.05,4.36,2021-09-06,1
37:52.9,2,1.63,24.15,4.2,3.53,2021-09-06,1
37:57.9,2,2.88,27.49,3.3,3.69,2021-09-06,1
38:02.9,2,2.52,23.42,3.87,3.86,2021-09-06,1
38:07.9,2,2.11,27.06,3.41,3.05,2021-09-06,1
38:12.9,2,2.91,27.27,4.32,3.2,2021-09-06,1
38:17.9,2,1.7,24.07,3.94,3.46,2021-09-06,1
38:22.9,2,2.25,24.09,4.46,4.03,2021-09-06,1
38:27.9,2,2.17,22.7,3.09,4,2021-09-06,1
38:32.9,2,1.97,24.29,3.94,3.38,2021-09-06,1
38:37.9,2,2.23,22.81,4.31,4.34,2021-09-06,1
38:42.9,2,1.71,24.52,3.54,3.16,2021-09-06,1
38:47.9,2,2.79,27.95,3.34,4.85,2021-09-06,1
38:52.9,2,2.01,24.44,3.75,3.26,2021-09-06,1
38:57.9,2,2.23,23.82,3.04,3.92,2021-09-06,1
39:02.9,2,2.68,24.48,3.37,3.14,2021-09-06,1
39:28.8,3,2.22,21.65,3.31,3.28,2021-09-06,1
39:33.8,3,1.56,22.74,4.28,3.27,2021-09-06,1
39:38.8,3,2.9,26.31,4.1,4.62,2021-09-06,1
39:43.8,3,2.03,26.47,3.89,4.72,2021-09-06,1
39:48.8,3,2.25,24.18,3.45,3.6,2021-09-06,1
39:53.8,3,1.71,24.01,4.26,3.21,2021-09-06,1
39:58.9,3,2.21,24.57,3.37,3.89,2021-09-06,1
40:03.9,3,2.92,26.86,4.14,4.03,2021-09-06,1
40:08.9,3,2.43,25.53,3.23,4.02,2021-09-06,1
40:13.9,3,2.13,25.95,3.45,3.11,2021-09-06,1
40:18.9,3,2.32,22.47,4.03,3.53,2021-09-06,1
40:23.9,3,2.18,25.99,4.06,4.05,2021-09-06,1
40:28.9,3,1.71,21.18,3.33,3.61,2021-09-06,1
40:33.9,3,2.43,25.01,3.66,3.05,2021-09-06,1
40:38.9,3,2.53,24.64,3.16,3.44,2021-09-06,1
40:43.9,3,2.85,26.57,3.72,3.83,2021-09-06,1
40:48.9,3,2.69,23.27,3.87,3.11,2021-09-06,1
40:53.9,3,1.85,21.48,3.31,4.37,2021-09-06,1
40:58.9,3,2.05,21.74,3.97,4.08,2021-09-06,1
41:03.9,3,2.01,23.46,3.32,3.45,2021-09-06,1
41:08.9,3,2.08,23.89,3.65,4.34,2021-09-06,1
41:14.0,3,2.12,27.05,4.26,3.53,2021-09-06,1
41:19.0,3,1.65,22.62,3.91,3.65,2021-09-06,1
41:24.0,3,2.05,27.29,3.52,3.26,2021-09-06,1
41:29.0,3,2.06,24.42,3.44,4.95,2021-09-06,1
41:34.0,3,2.77,26.24,3.76,4.37,2021-09-06,1
41:39.0,3,2.46,23.4,4.33,3.13,2021-09-06,1
41:44.0,3,2.75,26.2,3.95,4.18,2021-09-06,1
41:49.0,3,2.63,27.61,3.9,4.75,2021-09-06,1
41:54.0,3,1.85,23.43,3.57,3.88,2021-09-06,1
41:59.0,3,2.86,23.84,3.36,3.29,2021-09-06,1
42:04.0,3,2.76,23.48,3.41,4.43,2021-09-06,1
42:09.0,3,1.56,26.5,3.4,4.66,2021-09-06,1
42:14.0,3,2.23,24.65,3.88,4.35,2021-09-06,1
42:19.0,3,2.46,21.6,3.06,3.37,2021-09-06,1
42:24.0,3,2.78,26.08,3.36,4.38,2021-09-06,1
42:29.0,3,2.73,25.61,4.49,4.19,2021-09-06,1
42:34.0,3,2.2,21.14,3.46,4.78,2021-09-06,1
42:39.0,3,2.76,25.45,3.67,3.7,2021-09-06,1
42:44.0,3,2.61,25.16,3.63,4.76,2021-09-06,1
42:49.1,3,1.97,26.77,4.19,4.28,2021-09-06,1
42:54.1,3,2,25.95,4.37,3.39,2021-09-06,1
42:59.1,3,2.11,23.07,3.17,3.63,2021-09-06,1
43:04.1,3,1.98,25.91,3.35,4.5,2021-09-06,1
43:09.1,3,2.68,21.41,3.97,3.36,2021-09-06,1
43:14.1,3,2.87,26.42,3.38,4.75,2021-09-06,1
43:19.1,3,2.11,27.09,3.14,4.35,2021-09-06,1
43:24.1,3,2.45,27.59,3.68,4.25,2021-09-06,1
43:29.1,3,2.48,26.42,3.17,4.63,2021-09-06,1
43:34.1,3,1.58,23.79,3.59,3.88,2021-09-06,1
43:39.1,3,1.76,24.55,4.38,4.07,2021-09-06,1
43:44.1,3,2.08,24.27,3.08,4.33,2021-09-06,1
43:49.1,3,1.61,25.22,3.67,4.74,2021-09-06,1
43:54.1,3,2.65,21.96,4.35,3.33,2021-09-06,1
43:59.1,3,2.97,23.4,3.97,4.96,2021-09-06,1
44:04.2,3,2,23.57,3.96,3.91,2021-09-06,1
44:09.2,3,1.84,22.05,3.45,3.11,2021-09-06,1
44:14.2,3,1.69,24.31,3.01,4.35,2021-09-06,1
44:19.2,3,2.39,23.29,4.27,3.26,2021-09-06,1
44:24.2,3,2.86,23.54,3.16,4.39,2021-09-06,1
44:29.2,3,1.84,21.33,3.09,3.38,2021-09-06,1
44:34.2,3,2.83,24.31,3.24,3.16,2021-09-06,1
44:39.2,3,2.26,22.51,3.73,3.04,2021-09-06,1
44:44.2,3,2.91,23.28,3.95,3.71,2021-09-06,1
44:49.2,3,1.84,26.05,4.29,4.49,2021-09-06,1
44:54.2,3,2.03,25.19,3.24,3.81,2021-09-06,1
44:59.2,3,2.68,22.58,3.71,4.41,2021-09-06,1
45:04.2,3,1.54,21.46,3.34,4.66,2021-09-06,1
45:09.2,3,2.83,24.54,3.15,3.74,2021-09-06,1
45:34.7,4,2.65,25.35,3.57,4.25,2021-09-06,1
45:39.7,4,1.76,22.92,3.11,4.63,2021-09-06,1
45:44.7,4,2.26,24.49,3.17,4.67,2021-09-06,1
45:49.7,4,2.29,26.8,3.91,4.93,2021-09-06,1
45:54.7,4,1.8,25.82,3.87,4.21,2021-09-06,1
45:59.7,4,1.8,23.05,3.08,4.39,2021-09-06,1
46:04.7,4,2.55,24.97,3.44,4.83,2021-09-06,1
46:09.7,4,2.1,27.5,3.46,3.01,2021-09-06,1
46:14.7,4,2.13,25.27,4.36,4,2021-09-06,1
46:19.7,4,2.6,26.09,3.53,3.6,2021-09-06,1
46:24.7,4,2.07,24.12,3.64,4.84,2021-09-06,1
46:29.8,4,2.85,24.7,3.27,4.23,2021-09-06,1
46:34.8,4,1.51,22.87,4.38,3.63,2021-09-06,1
46:39.8,4,2.51,25.58,4.3,3.24,2021-09-06,1
46:44.8,4,2.26,25.21,3.29,3.44,2021-09-06,1
46:49.8,4,2.25,24.86,3.96,4.24,2021-09-06,1
46:54.8,4,2.05,21.2,3.27,3.62,2021-09-06,1
46:59.8,4,2.86,25.31,4.22,3.73,2021-09-06,1
47:04.8,4,1.69,27,3.56,4.36,2021-09-06,1
47:09.8,4,2.45,27.01,4.35,3.03,2021-09-06,1
47:14.8,4,2.39,23.8,4.02,3.96,2021-09-06,1
47:19.8,4,1.61,24.31,3.34,3.53,2021-09-06,1
47:24.8,4,2.15,23.76,3.72,3.02,2021-09-06,1
47:29.8,4,2.88,21.98,3.66,4.72,2021-09-06,1
47:34.8,4,2,22.69,3.92,4.78,2021-09-06,1
47:39.8,4,2.86,25.01,4.23,4.47,2021-09-06,1
47:44.8,4,2.56,22.89,3.05,3.66,2021-09-06,1
47:49.8,4,1.53,23.02,3.64,4.45,2021-09-06,1
47:54.9,4,2.54,23.44,4.05,3.75,2021-09-06,1
47:59.9,4,2.05,21.92,3.63,3.01,2021-09-06,1
48:04.9,4,2.57,25.2,3.75,3.97,2021-09-06,1
48:09.9,4,2.26,22.58,3.7,4.7,2021-09-06,1
48:14.9,4,1.95,24.58,3.36,4.17,2021-09-06,1
48:19.9,4,2.89,27.62,4.1,4.46,2021-09-06,1
48:24.9,4,1.74,22.85,3.1,3.91,2021-09-06,1
48:29.9,4,2.7,23.79,3.92,4.58,2021-09-06,1
48:34.9,4,2.39,24.64,3.02,4.99,2021-09-06,1
48:39.9,4,1.81,25.52,3.4,3.06,2021-09-06,1
48:44.9,4,2.2,21.13,3.68,4.51,2021-09-06,1
48:49.9,4,2.85,25.72,4.4,4.11,2021-09-06,1
48:54.9,4,2.09,25.36,3.72,3.82,2021-09-06,1
48:59.9,4,2.77,26.01,4.05,4.57,2021-09-06,1
49:04.9,4,2.12,22.84,4.44,4.16,2021-09-06,1
49:09.9,4,2.54,22.96,4.02,3.42,2021-09-06,1
49:14.9,4,1.76,24.96,3.39,3.48,2021-09-06,1
49:20.0,4,2.95,24.38,3.93,3.91,2021-09-06,1
49:25.0,4,2.32,23.37,3.54,4.55,2021-09-06,1
49:30.0,4,2.59,22.28,4.06,3.63,2021-09-06,1
49:35.0,4,2.63,23.47,3.79,4.72,2021-09-06,1
49:40.0,4,2.01,25.59,3.17,3.17,2021-09-06,1
49:45.0,4,1.7,25.62,3.3,3.93,2021-09-06,1
49:50.0,4,2.67,27.21,4.11,4.62,2021-09-06,1
49:55.0,4,2.21,23.46,3.67,3.9,2021-09-06,1
50:00.0,4,1.51,25.04,4.12,4.97,2021-09-06,1
50:05.0,4,2.43,24.08,3.24,4.45,2021-09-06,1
50:10.0,4,2.8,24.39,3.47,4.65,2021-09-06,1
50:15.0,4,1.87,22.61,3.14,4.63,2021-09-06,1
50:20.0,4,1.78,24.16,3.34,3.38,2021-09-06,1
50:25.0,4,2.3,23.73,3.02,4.28,2021-09-06,1
50:30.0,4,2.2,23.46,3.89,3.82,2021-09-06,1
50:35.0,4,2.16,21.73,3.13,4.21,2021-09-06,1
50:40.0,4,2.95,21.17,3.31,4.66,2021-09-06,1
50:45.0,4,1.96,21.49,3.33,4.62,2021-09-06,1
50:50.0,4,1.78,23.23,3.13,4.56,2021-09-06,1
50:55.0,4,2.06,21.68,3.65,4.23,2021-09-06,1
51:00.0,4,2.03,23.37,4.05,3.06,2021-09-06,1
51:05.0,4,2.83,24.31,3.62,3.54,2021-09-06,1
51:10.0,4,2.79,23.54,3.2,4.74,2021-09-06,1
51:15.0,4,1.83,26.63,3.48,4.89,2021-09-06,1
51:41.4,5,2.03,26.38,3.98,4.68,2021-09-06,1
51:46.4,5,1.89,22.29,3.2,3.14,2021-09-06,1
51:51.4,5,1.91,23.87,3.06,4.72,2021-09-06,1
51:56.4,5,1.55,21.83,3.7,4.4,2021-09-06,1
52:01.4,5,1.79,25.18,4.12,3.71,2021-09-06,1
52:06.4,5,2.7,27.81,3.68,3.84,2021-09-06,1
52:11.4,5,2.51,27.82,3.78,4.8,2021-09-06,1
52:16.4,5,1.6,24.01,3.39,3.96,2021-09-06,1
52:21.4,5,2,21.86,4.21,4.79,2021-09-06,1
52:26.4,5,2.42,19.2,1.63,3.07,2021-09-06,1
52:31.4,5,2.28,27.89,3.2,4.32,2021-09-06,1
52:36.4,5,2.66,24.03,3.89,4.1,2021-09-06,1
52:41.4,5,1.85,27.92,3.26,4.63,2021-09-06,1
52:46.4,5,2.59,23.77,3.73,4.95,2021-09-06,1
52:51.4,5,1.75,22.48,3.43,3.67,2021-09-06,1
52:56.4,5,2.73,22.91,3.36,3.42,2021-09-06,1
53:01.4,5,2.33,22.71,3.16,3.29,2021-09-06,1
53:06.5,5,2.94,26.49,3.86,4.11,2021-09-06,1
53:11.5,5,2.46,22.1,3.54,3.87,2021-09-06,1
53:16.5,5,2.78,23.49,2.45,4.3,2021-09-06,1
53:21.5,5,2.67,25.6,3.4,3.76,2021-09-06,1
53:26.5,5,2.81,22.6,3.84,4.79,2021-09-06,1
53:31.5,5,2.87,25.65,4.01,3.85,2021-09-06,1
53:36.5,5,2.9,24.78,3.85,3.96,2021-09-06,1
53:41.5,5,2,26.36,3.27,3.05,2021-09-06,1
53:46.5,5,1.54,25.59,3.54,4.79,2021-09-06,1
53:51.5,5,1.77,23.91,3.88,3.14,2021-09-06,1
53:56.5,5,1.77,26.8,3.2,3.07,2021-09-06,1
54:01.5,5,2.78,24.73,3.59,3.5,2021-09-06,1
54:06.5,5,2.42,21.23,3.08,4.61,2021-09-06,1
54:11.5,5,2.72,27.65,3.99,4.82,2021-09-06,1
54:16.5,5,2.81,26.98,3.33,3.55,2021-09-06,1
54:21.5,5,1.97,21.63,3.3,4.4,2021-09-06,1
54:26.5,5,2.07,21.65,4.23,3.04,2021-09-06,1
54:31.5,5,1.56,22.06,3.45,3.06,2021-09-06,1
54:36.5,5,1.6,24,3.65,4.14,2021-09-06,1
54:41.5,5,2.77,25.13,4.08,4.59,2021-09-06,1
54:46.6,5,2.29,26.6,3.55,4.76,2021-09-06,1
54:51.6,5,2.1,21.91,3.64,3.41,2021-09-06,1
54:56.6,5,2.54,24.17,3.46,4.59,2021-09-06,1
55:01.6,5,1.76,24.96,3.77,4.57,2021-09-06,1
55:06.6,5,1.87,22.38,4.4,4.84,2021-09-06,1
55:11.6,5,2.22,26.85,3.39,4.16,2021-09-06,1
55:16.6,5,1.56,26.33,4.41,3.85,2021-09-06,1
55:21.6,5,2.59,23.93,4.09,4.5,2021-09-06,1
55:26.6,5,1.84,24.57,4.16,3.69,2021-09-06,1
55:31.6,5,2.88,26.9,3.76,3.98,2021-09-06,1
55:36.6,5,2.47,27.95,3.61,4.68,2021-09-06,1
55:41.6,5,2.76,25.65,3.49,4.71,2021-09-06,1
55:46.6,5,2.93,24.21,3.21,4.63,2021-09-06,1
55:51.6,5,2.04,27.24,3.68,4.63,2021-09-06,1
55:56.6,5,2.06,23.8,4.19,4.58,2021-09-06,1
56:01.6,5,2.15,24.1,3.45,4.32,2021-09-06,1
56:06.6,5,2.68,22.64,3.3,4.72,2021-09-06,1
56:11.6,5,2.89,26.27,4.33,4.19,2021-09-06,1
56:16.6,5,2.35,21.59,3.87,3.23,2021-09-06,1
56:21.6,5,1.53,24.59,3.22,3.07,2021-09-06,1
56:26.7,5,2.56,27.33,3.75,3.41,2021-09-06,1
56:31.7,5,1.84,22.69,4.24,4.84,2021-09-06,1
56:36.7,5,2.18,23,4.16,3.64,2021-09-06,1
56:41.7,5,1.82,25.1,3.05,4.76,2021-09-06,1
56:46.7,5,2.74,24.23,4.15,3.06,2021-09-06,1
56:51.7,5,1.7,22.58,3.15,3.66,2021-09-06,1
56:56.7,5,2.06,22.91,4.47,3.23,2021-09-06,1
57:01.7,5,2.76,25.14,3.62,4.69,2021-09-06,1
57:06.7,5,2.56,25.77,3.42,3.29,2021-09-06,1
57:11.7,5,2.91,26.73,4.23,3.61,2021-09-06,1
57:16.7,5,2.26,24.31,3.89,4.53,2021-09-06,1
57:21.7,5,2.85,24.43,3.99,4.11,2021-09-06,1
57:48.5,6,2.5,24.83,4.24,4.72,2021-09-06,1
57:53.5,6,1.77,25.19,3.11,4.7,2021-09-06,1
57:58.5,6,2.48,22.84,4.08,4.44,2021-09-06,1
58:03.5,6,2.03,24.92,3.48,3.46,2021-09-06,1
58:08.5,6,1.85,23.59,4.49,4.72,2021-09-06,1
58:13.5,6,2.17,26.69,4.27,4.71,2021-09-06,1
58:18.5,6,1.98,23.42,3.47,3.72,2021-09-06,1
58:23.5,6,2.27,27.72,4.35,4.96,2021-09-06,1
58:28.5,6,2.22,24.13,3.83,3.32,2021-09-06,1
58:33.5,6,2.25,24.68,3.22,3.5,2021-09-06,1
58:38.5,6,3.51,22.44,3.64,3.67,2021-09-06,1
58:43.5,6,1.83,22.64,3.06,3.72,2021-09-06,1
58:48.5,6,1.58,21.21,3.73,4.74,2021-09-06,1
58:53.5,6,2.52,24.96,4.49,3.42,2021-09-06,1
58:58.5,6,2.29,24.61,3.28,3.06,2021-09-06,1
59:03.5,6,2.74,25.64,3.45,4.66,2021-09-06,1
59:08.5,6,2.15,21.28,3.88,4.5,2021-09-06,1
59:13.5,6,2.25,24.6,4.41,4.26,2021-09-06,1
59:18.5,6,2.33,24.36,3.29,3.35,2021-09-06,1
59:23.6,6,2.32,24.16,3.97,3.05,2021-09-06,1
59:28.6,6,2.58,27.57,4.09,4.7,2021-09-06,1
59:33.6,6,1.87,23.72,4.06,4.43,2021-09-06,1
59:38.6,6,1.73,24.29,3.31,3.98,2021-09-06,1
59:43.6,6,2.27,21.03,3.82,4.44,2021-09-06,1
59:48.6,6,2.87,21.05,4.38,3.48,2021-09-06,1
59:53.6,6,1.64,25.57,3.56,4.22,2021-09-06,1
59:58.6,6,1.76,23.58,3.85,4.64,2021-09-06,1
00:03.6,6,2.71,26.17,3.7,3.78,2021-09-06,1
00:08.6,6,3.51,22.44,3.64,3.67,2021-09-06,1
00:13.6,6,1.79,21.43,3.63,4.33,2021-09-06,1
00:18.6,6,2.67,24.62,3.65,3.87,2021-09-06,1
00:23.6,6,2.97,23.9,3.87,3.34,2021-09-06,1
00:28.6,6,1.53,26.81,3.43,3.98,2021-09-06,1
00:33.6,6,1.57,22.3,4.22,3.19,2021-09-06,1
00:38.6,6,2.34,23.96,3.3,3.18,2021-09-06,1
00:43.6,6,2.93,21.8,3.43,3.05,2021-09-06,1
00:48.6,6,2.76,21.3,3.78,3.93,2021-09-06,1
00:53.6,6,2.71,25.59,3.6,4.86,2021-09-06,1
00:58.6,6,1.89,25.68,4.01,3.09,2021-09-06,1
01:03.6,6,2.95,22.7,3.54,4.95,2021-09-06,1
01:08.6,6,2.39,27.98,4.3,3.53,2021-09-06,1
01:13.7,6,2.72,24.48,3.85,4.25,2021-09-06,1
01:18.7,6,1.79,22.91,3.55,3.57,2021-09-06,1
01:23.7,6,2.17,23.9,4,3.27,2021-09-06,1
01:28.7,6,1.78,25.83,4.2,4.47,2021-09-06,1
01:33.7,6,2.52,22.61,3.2,3.77,2021-09-06,1
01:38.7,6,2.29,23.75,3.21,3.56,2021-09-06,1
01:43.7,6,2.13,23.6,3.02,3.7,2021-09-06,1
01:48.7,6,1.76,25.47,3.88,3.7,2021-09-06,1
01:53.7,6,1.89,25.61,3.31,3.82,2021-09-06,1
01:58.7,6,1.92,21.04,3.63,4.27,2021-09-06,1
02:03.7,6,1.91,24.13,3.13,4.81,2021-09-06,1
02:08.7,6,1.88,26.45,3.73,4.56,2021-09-06,1
02:13.7,6,1.91,27.39,3.1,3.63,2021-09-06,1
02:18.7,6,2.32,22.67,4.41,3.28,2021-09-06,1
02:23.7,6,2.99,21.17,3.23,4.44,2021-09-06,1
02:28.7,6,2.36,23.04,4.28,4.55,2021-09-06,1
02:33.8,6,2.71,23.17,3.79,4.36,2021-09-06,1
02:38.8,6,2.98,26.46,3.75,4.35,2021-09-06,1
02:43.8,6,2.71,24.25,3.52,4.35,2021-09-06,1
02:48.8,6,1.95,23.9,3.78,4.21,2021-09-06,1
02:53.8,6,2.07,23.26,3.95,3.5,2021-09-06,1
02:58.8,6,1.7,25.34,4.03,4.47,2021-09-06,1
03:03.8,6,2.59,27.74,3.25,3.73,2021-09-06,1
03:08.8,6,3.51,22.44,3.64,3.67,2021-09-06,1
03:13.8,6,2.35,22.95,3.82,3.66,2021-09-06,1
03:18.8,6,3.51,22.44,3.64,3.67,2021-09-06,1
03:23.8,6,1.87,23.04,3.6,3.49,2021-09-06,1
03:28.8,6,2.18,27.49,3.38,3.04,2021-09-06,1
03:53.9,7,2.5,24.63,3.15,4.56,2021-09-06,1
03:58.9,7,2.59,25.36,3.3,3.79,2021-09-06,1
04:03.9,7,1.91,24.57,3.88,4.91,2021-09-06,1
04:08.9,7,1.84,27.53,3.26,4.27,2021-09-06,1
04:13.9,7,2.74,25.8,4.42,4.52,2021-09-06,1
04:19.0,7,2.49,24.83,4.08,4.71,2021-09-06,1
04:24.0,7,2.95,21.95,4.37,4.08,2021-09-06,1
04:29.0,7,1.6,24.93,4.4,3.6,2021-09-06,1
04:34.0,7,2.11,27.95,3.49,3.57,2021-09-06,1
